celex_vowel,F1_lob2,F2_lob2
TRAP,0.8629436218117917,0.394939269023329
START,2.0964360592347284,-0.4799362835864507
THOUGHT,-0.1435422288806587,-1.4067478974370347
NURSE,-0.5240043568152262,-0.36497927225090604
DRESS,-0.6360877013279733,1.5036787662532618
FLEECE,-1.1521690429957736,1.6521252524613896
KIT,-0.3777282000058551,0.4005164607361524
LOT,-0.09090720282277177,-1.009124238835841
GOOSE,-0.9343796851793829,-0.12861891848564713
STRUT,0.8994387369811222,-0.5618531378782516
